backbone,candidate_id,effector,vLRR_Interface_manual,vLRR_class_computed,vLRR_fraction_median,vLRR_class_agreement,n_models_found,n_models_expected,QC_status,QC_notes,nlr_pLDDT_mean,effector_pLDDT_mean,nlr_intra_PAE_mean,effector_intra_PAE_mean,af3_has_clash_n,AB_heavy_atom_clash_pairs_mean,AB_heavy_atom_clash_pairs_median,AB_heavy_atom_clash_pairs_worst_model,n_models_with_clash,AB_min_heavy_atom_distance_mean_A,models_with_cLIR,interface_model_support_fraction,interface_consistency_mean,iLIS_median,iLIS_sd,contact_prob_max_median,n_contact_pairs_gt0.3_median,ipSAE_official_max_median,n_tokens_nlr_mean,n_tokens_effector_mean,n_tokens_atp_mean,BSA_method
Sr35,188,sre9,Yes,,,,5,5,PASS,,71.84,58.06,17.003685376126377,14.228297966401417,0,0.0,0.0,0.0,0,1.959607044516779,5,1.0,0.4498377783264701,0.0,0.0,0.21,0.0,0.0,895.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,73,sre23,Yes,,,,5,5,PASS,,75.58000000000001,72.08,16.08955618355053,8.990169491525425,0,0.6,0.0,2.0,2,1.5347502063783856,5,1.0,0.4312326315334235,0.0,0.0,0.21,0.0,0.0,817.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,74,sre23,Yes,,,,5,5,PASS,,70.3,68.68,18.214227498526565,8.667383563594928,0,0.6,0.0,2.0,2,1.6921148632548064,5,1.0,0.3508915116080199,0.0,0.0,0.26,0.0,0.0,963.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,189,sre9,Yes,,,,5,5,PASS,,70.55999999999999,56.519999999999996,17.16929404690979,14.835417035072206,0,0.2,0.0,1.0,1,1.934695187551501,5,1.0,0.33645433065096486,0.0,0.0,0.14,0.0,0.0,854.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,55,sre2,Yes,,,,5,5,CHECK,AB_CLASH_REPEATED,72.4,54.48,17.788310400943338,17.229671157467767,0,1.0,1.0,2.0,3,1.4905858871198934,5,1.0,0.315838996764454,0.0,0.0,0.1,0.0,0.0,914.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,69,sre20,Yes,,,,5,5,PASS,,74.72,35.58,15.608749379036265,20.043006367700855,0,0.0,0.0,0.0,0,2.121203094583261,5,1.0,0.31310783336115067,0.0,0.0,0.11,0.0,0.0,793.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,67,sre20,Yes,,,,5,5,PASS,,72.44,30.339999999999996,16.290432853698924,21.18085083322043,0,0.0,0.0,0.0,0,1.918592102262035,5,1.0,0.2823881844451436,0.0,0.0,0.12,0.0,0.0,892.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,WT,avrsr35,Yes,,,,5,5,PASS,,79.47999999999999,45.14,14.160857930908369,27.00625766582861,0,0.0,0.0,0.0,0,1.91764422280771,5,1.0,0.2736428673463999,0.0,0.0,0.14,0.0,0.0,959.0,584.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,64,sre2,Yes,,,,5,5,PASS,,68.94,53.32000000000001,18.200754186875425,17.1631102419238,0,0.2,0.0,1.0,1,1.9880367239855832,5,1.0,0.20770002383211505,0.0,0.0,0.11,0.0,0.0,992.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,66,sre20,Yes,,,,5,5,PASS,,72.58,30.5,17.64988318682679,21.168745427448858,0,0.0,0.0,0.0,0,2.118496576093001,5,1.0,0.20739886610173572,0.0,0.0,0.1,0.0,0.0,985.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,58,sre2,Yes,,,,5,5,PASS,,70.58,54.82000000000001,17.702732208020993,17.06761697812545,0,0.6,0.0,2.0,2,1.9555784029063628,5,1.0,0.20643906000870535,0.0,0.0,0.26,0.0,0.0,883.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,53,sre19,Yes,,,,5,5,PASS,,72.24,34.160000000000004,16.52682663563196,17.61914105886709,0,0.0,0.0,0.0,0,2.090989385588844,5,1.0,0.20370622392553545,0.0,0.0,0.1,0.0,0.0,845.0,74.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,62,sre2,Yes,,,,5,5,PASS,,67.32,54.9,19.312999318351128,17.21723453570911,0,0.2,0.0,1.0,1,2.111750731843082,5,1.0,0.1607024773472142,0.0,0.0,0.2,0.0,0.0,974.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,65,sre2,Partially,,,,5,5,PASS,,74.36,55.620000000000005,15.69147107901206,16.859277125887296,0,0.2,0.0,1.0,1,1.8242877858358262,5,1.0,0.4563006268105203,0.0,0.0,0.37,8.0,0.0,793.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,71,sre23,Partially,,,,5,5,PASS,,71.3,71.84,16.6508283442326,8.800309072781655,0,0.0,0.0,0.0,0,1.9680689244657699,5,1.0,0.2924700247190105,0.0,0.0,0.09,0.0,0.0,847.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,68,sre20,Partially,,,,5,5,PASS,,73.34,31.620000000000005,16.232181909456006,20.979080070451158,0,0.4,0.0,1.0,2,1.8131765337649537,5,1.0,0.23884310964647032,0.0,0.0,0.1,0.0,0.0,913.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,72,sre23,Partially,,,,5,5,PASS,,73.93999999999998,72.32,15.983459495665135,8.946249821962684,0,0.2,0.0,1.0,1,1.9139434063927787,5,1.0,0.2094632462888537,0.0,0.0,0.07,0.0,0.0,798.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,52,sre19,Partially,,,,5,5,PASS,,71.82,36.739999999999995,17.480465706565035,16.848744909292854,0,0.4,0.0,2.0,1,1.9491903352683337,5,1.0,0.2014951793575007,0.0,0.0,0.28,0.0,0.0,877.0,74.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,57,sre2,No,,,,5,5,PASS,,74.86,57.7,17.108340521866015,17.02461828190642,0,0.0,0.0,0.0,0,2.2543280636676784,5,1.0,0.6617436987443819,0.0785,0.006344131146185426,0.68,25.0,0.012271,864.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,56,sre2,No,,,,5,5,PASS,,70.6,56.56,17.361633822505873,17.017404027234534,0,0.0,0.0,0.0,0,2.402260228028377,5,1.0,0.4844429137629039,0.0617,0.01679621981280312,0.52,19.0,0.010516,824.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,61,sre2,No,,,,5,5,PASS,,70.42,59.040000000000006,19.849629287977056,17.626944806605824,0,0.0,0.0,0.0,0,2.483997602355811,5,1.0,0.7396718961555042,0.0247,0.0017922053453775881,0.71,39.0,0.0,1027.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,76,sre23,No,,,,5,5,PASS,,73.0,72.6,16.406635950013747,8.536436405070502,0,0.0,0.0,0.0,0,2.300264131385722,5,1.0,0.19199281593654993,0.0,0.0,0.13,0.0,0.0,823.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,70,sre23,No,,,,5,5,PASS,,69.7,71.94,17.28955492729039,8.692511038313631,0,0.0,0.0,0.0,0,2.309147757595904,5,1.0,0.17724072460623697,0.0,0.0,0.09,0.0,0.0,831.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,75,sre23,No,,,,5,5,PASS,,70.93999999999998,72.0,16.630939898075486,8.838383421165076,0,0.0,0.0,0.0,0,2.3217031744967516,5,1.0,0.1464143889001574,0.0,0.0,0.13,0.0,0.0,803.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
